productname,Rating
Apple iPhone 6s (Gold, 32 GB),4.5
Apple iPhone 6s (Space Grey, 32 GB),4.5
Apple iPhone 6s (Rose Gold, 32 GB),4.5
Apple iPhone XR (Black, 128 GB),4.6
Apple iPhone X (Space Gray, 64 GB),4.6
Apple iPhone XR (White, 64 GB),4.6
Apple iPhone XR (White, 128 GB),4.6
Apple iPhone XR ((PRODUCT)RED, 128 GB),4.6
Apple iPhone XR (Black, 64 GB),4.6
Apple iPhone XR ((PRODUCT)RED, 64 GB),4.6
Apple iPhone XR (Blue, 64 GB),4.6
Apple iPhone 8 (Silver, 64 GB),4.6
Apple iPhone 8 (Gold, 64 GB),4.6
Apple iPhone 6s (Silver, 32 GB),4.5
Apple iPhone 8 Plus (Gold, 256 GB),4.6
Apple iPhone 8 (PRODUCT)RED (Red, 64 GB),4.7
Apple iPhone 8 Plus (Gold, 64 GB),4.6
Apple iPhone 8 Plus (Silver, 256 GB),4.6
Apple iPhone 6s Plus (Gold, 32 GB),4.4
Apple iPhone 8 (Space Grey, 64 GB),4.6
Apple iPhone 6s Plus (Silver, 16 GB),4.4
Apple iPhone 8 Plus (Silver, 64 GB),4.6
Apple iPhone XR (Coral, 64 GB),4.6
Apple iPhone 8 Plus (PRODUCT)RED (Red, 256 GB),4.6
